id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,visitor.linescores.period,home.linescores.period
0021700177,20171111/ATLWAS,22017,20171111,1900,Capital One Arena,Washington,DC,USA,20171111,1900,20171111,1900,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700177/WEB_MWEB,0,07:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612737,ATL,Atlanta,ATL,Hawks,hawks,hawks,0,1610612764,WAS,Washington,WAS,Wizards,wizards,wizards,0,,
0021700178,20171111/LACNOP,22017,20171111,1900,Smoothie King Center,New Orleans,LA,USA,20171111,1800,20171111,1600,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700178/WEB_MWEB,0,07:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612746,LAC,LA,LAC,Clippers,clippers,clippers,0,1610612740,NOP,New Orleans,NOP,Pelicans,pelicans,pelicans,0,,
0021700179,20171111/SACNYK,22017,20171111,2000,Madison Square Garden,New York,NY,USA,20171111,2000,20171111,1700,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700179/WEB_MWEB,0,08:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612758,SAC,Sacramento,SAC,Kings,kings,kings,0,1610612752,NYK,New York,NYK,Knicks,knicks,knicks,0,,
0021700180,20171111/MEMHOU,22017,20171111,2000,Toyota Center,Houston,TX,USA,20171111,1900,20171111,1900,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700180/WEB_MWEB,0,08:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612763,MEM,Memphis,MEM,Grizzlies,grizzlies,grizzlies,0,1610612745,HOU,Houston,HOU,Rockets,rockets,rockets,0,,
0021700181,20171111/CLEDAL,22017,20171111,2030,American Airlines Center,Dallas,TX,USA,20171111,1930,20171111,2030,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700181/WEB_MWEB,0,08:30 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612739,CLE,Cleveland,CLE,Cavaliers,cavaliers,cavaliers,0,1610612742,DAL,Dallas,DAL,Mavericks,mavericks,mavericks,0,,
0021700182,20171111/LALMIL,22017,20171111,2030,BMO Harris Bradley Center,Milwaukee,WI,USA,20171111,1930,20171111,1730,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700182/WEB_MWEB,0,08:30 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612747,LAL,Los Angeles,LAL,Lakers,lakers,lakers,0,1610612749,MIL,Milwaukee,MIL,Bucks,bucks,bucks,0,,
0021700183,20171111/CHISAS,22017,20171111,2030,AT&T Center,San Antonio,TX,USA,20171111,1930,20171111,1930,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700183/WEB_MWEB,0,08:30 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612741,CHI,Chicago,CHI,Bulls,bulls,bulls,0,1610612759,SAS,San Antonio,SAS,Spurs,spurs,spurs,0,,
0021700184,20171111/PHIGSW,22017,20171111,2030,ORACLE Arena,Oakland,CA,USA,20171111,1730,20171111,2030,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700184/WEB_MWEB,0,08:30 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612755,PHI,Philadelphia,PHI,76ers,sixers,sixers,0,1610612744,GSW,Golden State,GSW,Warriors,warriors,warriors,0,,
0021700185,20171111/ORLDEN,22017,20171111,2100,Pepsi Center,Denver,CO,USA,20171111,1900,20171111,2100,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700185/WEB_MWEB,0,09:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612753,ORL,Orlando,ORL,Magic,magic,magic,0,1610612743,DEN,Denver,DEN,Nuggets,nuggets,nuggets,0,,
0021700186,20171111/MINPHX,22017,20171111,2100,Talking Stick Resort Arena,Phoenix,AZ,USA,20171111,1900,20171111,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700186/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,110,1610612756,PHX,Phoenix,PHX,Suns,suns,suns,118,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '32'}, {'period_value': '3', 'period_name': 'Q3', 'score': '28'}, {'period_value': '4', 'period_name': 'Q4', 'score': '22'}]","[{'period_value': '1', 'period_name': 'Q1', 'score': '19'}, {'period_value': '2', 'period_name': 'Q2', 'score': '37'}, {'period_value': '3', 'period_name': 'Q3', 'score': '29'}, {'period_value': '4', 'period_name': 'Q4', 'score': '33'}]"
0021700187,20171111/BKNUTA,22017,20171111,2100,Vivint Smart Home Arena,Salt Lake City,UT,USA,20171111,1900,20171111,2100,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021700187/WEB_MWEB,0,09:00 PM ET,1,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612751,BKN,Brooklyn,BKN,Nets,nets,nets,0,1610612762,UTA,Utah,UTA,Jazz,jazz,jazz,0,,
