id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score
0021701219,20180411/BKNBOS,22017,20180411,2000,TD Garden,Boston,MA,USA,20180411,2000,20180411,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701219/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612751,BKN,Brooklyn,BKN,Nets,nets,nets,97,1610612738,BOS,Boston,BOS,Celtics,celtics,celtics,110
0021701220,20180411/NYKCLE,22017,20180411,2000,Quicken Loans Arena,Cleveland,OH,USA,20180411,2000,20180411,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701220/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612752,NYK,New York,NYK,Knicks,knicks,knicks,110,1610612739,CLE,Cleveland,CLE,Cavaliers,cavaliers,cavaliers,98
0021701221,20180411/TORMIA,22017,20180411,2000,AmericanAirlines Arena,Miami,FL,USA,20180411,2000,20180411,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701221/WEB_MWEB,5,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612761,TOR,Toronto,TOR,Raptors,raptors,raptors,109,1610612748,MIA,Miami,MIA,Heat,heat,heat,116
0021701222,20180411/WASORL,22017,20180411,2000,Amway Center,Orlando,FL,USA,20180411,2000,20180411,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701222/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612764,WAS,Washington,WAS,Wizards,wizards,wizards,92,1610612753,ORL,Orlando,ORL,Magic,magic,magic,101
0021701223,20180411/MILPHI,22017,20180411,2000,Wells Fargo Center,Philadelphia,PA,USA,20180411,2000,20180411,1900,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701223/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612749,MIL,Milwaukee,MIL,Bucks,bucks,bucks,95,1610612755,PHI,Philadelphia,PHI,76ers,sixers,sixers,130
0021701224,20180411/DETCHI,22017,20180411,2000,United Center,Chicago,IL,USA,20180411,1900,20180411,2000,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701224/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612765,DET,Detroit,DET,Pistons,pistons,pistons,119,1610612741,CHI,Chicago,CHI,Bulls,bulls,bulls,87
0021701225,20180411/DENMIN,22017,20180411,2000,Target Center,Minneapolis,MN,USA,20180411,1900,20180411,1800,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701225/WEB_MWEB,5,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612743,DEN,Denver,DEN,Nuggets,nuggets,nuggets,106,1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,112
0021701226,20180411/SASNOP,22017,20180411,2000,Smoothie King Center,New Orleans,LA,USA,20180411,1900,20180411,1900,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701226/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612759,SAS,San Antonio,SAS,Spurs,spurs,spurs,98,1610612740,NOP,New Orleans,NOP,Pelicans,pelicans,pelicans,122
0021701227,20180411/MEMOKC,22017,20180411,2000,Chesapeake Energy Arena,Oklahoma City,OK,USA,20180411,1900,20180411,1900,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701227/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612763,MEM,Memphis,MEM,Grizzlies,grizzlies,grizzlies,123,1610612760,OKC,Oklahoma City,OKC,Thunder,thunder,thunder,137
0021701228,20180411/LALLAC,22017,20180411,2230,Staples Center,Los Angeles,CA,USA,20180411,1930,20180411,1930,0,0,0,0,0,https://a.data.nba.com/tickets/single/2019/0021701228/WEB_MWEB,4,Final,3,,4,Qtr,false,,false,false,false,false,false,false,false,false,false,false,[],1610612747,LAL,Los Angeles,LAL,Lakers,lakers,lakers,115,1610612746,LAC,LA,LAC,Clippers,clippers,clippers,100
