id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,broadcasters.radio.broadcaster,broadcasters.tv.broadcaster,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,visitor.linescores.period,home.linescores.period
0021801195,20190407/MIATOR,22018,20190407,1200,Scotiabank Arena,Toronto,ON,Canada,20190407,1200,20190407,1200,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801195/WEB_MWEB,5,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '790 The Ticket / S: WAQI 710 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'TSN Radio 1050 Toronto'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'TSN'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Sun'}]",1610612748,MIA,Miami,MIA,Heat,heat,heat,109,1610612761,TOR,Toronto,TOR,Raptors,raptors,raptors,117,,
0021801196,20190407/SASCLE,22018,20190407,1500,Quicken Loans Arena,Cleveland,OH,USA,20190407,1500,20190407,1400,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801196/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WOAI 1200AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'WTAM 1100 / 100.7 WMMS / 87.7 FM (ESP)'}]","[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'NBA TV Canada'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Ohio'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southwest - San Antonio'}]",1610612759,SAS,San Antonio,SAS,Spurs,spurs,spurs,112,1610612739,CLE,Cleveland,CLE,Cavaliers,cavaliers,cavaliers,90,,
0021801197,20190407/OKCMIN,22018,20190407,1530,Target Center,Minneapolis,MN,USA,20190407,1430,20190407,1430,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801197/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,false,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WWLS 98.1FM OKC'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '104.1 JACK FM'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'ABC'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN'}]",1610612760,OKC,Oklahoma City,OKC,Thunder,thunder,thunder,132,1610612750,MIN,Minnesota,MIN,Timberwolves,timberwolves,timberwolves,126,,
0021801198,20190407/CHADET,22018,20190407,1600,Little Caesars Arena,Detroit,MI,USA,20190407,1600,20190407,1600,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801198/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': '950 AM'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Detroit'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Charlotte'}]",1610612766,CHA,Charlotte,CHA,Hornets,hornets,hornets,104,1610612765,DET,Detroit,DET,Pistons,pistons,pistons,91,,
0021801199,20190407/BKNIND,22018,20190407,1700,Bankers Life Fieldhouse,Indianapolis,IN,USA,20190407,1700,20190407,1700,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801199/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WFAN'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '1070 The Fan/107.5 FM'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Indiana'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'YES'}]",1610612751,BKN,Brooklyn,BKN,Nets,nets,nets,108,1610612754,IND,Indiana,IND,Pacers,pacers,pacers,96,,
0021801201,20190407/DALMEM,22018,20190407,1800,FedEx Forum,Memphis,TN,USA,20190407,1700,20190407,1700,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801201/WEB_MWEB,5,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],,"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Southeast - Memphis'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southwest - Dallas Plus'}]",1610612742,DAL,Dallas,DAL,Mavericks,mavericks,mavericks,129,1610612763,MEM,Memphis,MEM,Grizzlies,grizzlies,grizzlies,127,"[{'period_value': '1', 'period_name': 'Q1', 'score': '24'}, {'period_value': '2', 'period_name': 'Q2', 'score': '28'}, {'period_value': '3', 'period_name': 'Q3', 'score': '31'}, {'period_value': '4', 'period_name': 'Q4', 'score': '29'}, {'period_value': '5', 'period_name': 'OT1', 'score': '17'}]","[{'period_value': '1', 'period_name': 'Q1', 'score': '26'}, {'period_value': '2', 'period_name': 'Q2', 'score': '30'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '24'}, {'period_value': '5', 'period_name': 'OT1', 'score': '15'}]"
0021801200,20190407/PHXHOU,22018,20190407,1900,Toyota Center,Houston,TX,USA,20190407,1800,20190407,1600,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801200/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Arizona Sports 98.7FM / KSUN 1400AM (ES)'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '790 AM'}]","[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'NBA TV Canada'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'AT&T Sportsnet - Southwest'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'FSAZ+'}]",1610612756,PHX,Phoenix,PHX,Suns,suns,suns,113,1610612745,HOU,Houston,HOU,Rockets,rockets,rockets,149,,
0021801202,20190407/ATLMIL,22018,20190407,1900,Fiserv Forum,Milwaukee,WI,USA,20190407,1800,20190407,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801202/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'WZGC 92.9 FM The Game'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '620 AM/103.3 FM WTMJ'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Wisconsin'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Atlanta'}]",1610612737,ATL,Atlanta,ATL,Hawks,hawks,hawks,107,1610612749,MIL,Milwaukee,MIL,Bucks,bucks,bucks,115,,
0021801203,20190407/ORLBOS,22018,20190407,1930,TD Garden,Boston,MA,USA,20190407,1930,20190407,1930,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801203/WEB_MWEB,4,Final,3,,4,Qtr,true,true,false,false,false,false,true,false,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'FM 96.9 The Game'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': '98.5 The Sports Hub'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Boston'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Florida'}]",1610612753,ORL,Orlando,ORL,Magic,magic,magic,116,1610612738,BOS,Boston,BOS,Celtics,celtics,celtics,108,,
0021801204,20190407/WASNYK,22018,20190407,1930,Madison Square Garden,New York,NY,USA,20190407,1930,20190407,1930,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021801204/WEB_MWEB,4,Final,3,,4,Qtr,true,false,false,false,false,false,true,false,false,false,false,true,"[{'name': 'MSG', 'long_nm': 'MSG', 'code': 'nykr', 'url': 'http://www.msggo.com/', 'mobile_url': '', 'home_visitor': 'home'}]","[{'scope': 'local', 'home_visitor': 'visitor', 'display_name': '1500 AM'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'ESPN NY 98.7'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'MSG'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports Washington'}]",1610612764,WAS,Washington,WAS,Wizards,wizards,wizards,110,1610612752,NYK,New York,NYK,Knicks,knicks,knicks,113,,
