id,game_url,season_id,date,time,arena,city,state,country,home_start_date,home_start_time,visitor_start_date,visitor_start_time,previewAvailable,recapAvailable,notebookAvailable,tnt_ot,buzzerBeater,ticket.ticket_link,period_time.period_value,period_time.period_status,period_time.game_status,period_time.game_clock,period_time.total_periods,period_time.period_name,lp.lp_video,lp.condensed_bb,lp.visitor.audio.ENG,lp.visitor.audio.SPA,lp.visitor.video.avl,lp.visitor.video.onAir,lp.visitor.video.archBB,lp.home.audio.ENG,lp.home.audio.SPA,lp.home.video.avl,lp.home.video.onAir,lp.home.video.archBB,dl.link,broadcasters.tv.broadcaster,visitor.id,visitor.team_key,visitor.city,visitor.abbreviation,visitor.nickname,visitor.url_name,visitor.team_code,visitor.score,visitor.linescores.period,home.id,home.team_key,home.city,home.abbreviation,home.nickname,home.url_name,home.team_code,home.score,home.linescores.period
0021900444,20191223/ATLCLE,22019,20191223,1900,Rocket Mortgage FieldHouse,Cleveland,OH,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900444/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,true,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Ohio'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southeast - Atlanta'}]",1610612737,ATL,Atlanta,ATL,Hawks,hawks,hawks,118,"[{'period_value': '1', 'period_name': 'Q1', 'score': '32'}, {'period_value': '2', 'period_name': 'Q2', 'score': '32'}, {'period_value': '3', 'period_name': 'Q3', 'score': '30'}, {'period_value': '4', 'period_name': 'Q4', 'score': '24'}]",1610612739,CLE,Cleveland,CLE,Cavaliers,cavaliers,cavaliers,121,"[{'period_value': '1', 'period_name': 'Q1', 'score': '42'}, {'period_value': '2', 'period_name': 'Q2', 'score': '29'}, {'period_value': '3', 'period_name': 'Q3', 'score': '23'}, {'period_value': '4', 'period_name': 'Q4', 'score': '27'}]"
0021900445,20191223/PHIDET,22019,20191223,1900,Little Caesars Arena,Detroit,MI,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900445/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,false,false,false,true,[],"[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'SN NOW'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Detroit'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports Philadelphia Plus'}]",1610612755,PHI,Philadelphia,PHI,76ers,sixers,sixers,125,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '30'}, {'period_value': '3', 'period_name': 'Q3', 'score': '34'}, {'period_value': '4', 'period_name': 'Q4', 'score': '31'}]",1610612765,DET,Detroit,DET,Pistons,pistons,pistons,109,"[{'period_value': '1', 'period_name': 'Q1', 'score': '23'}, {'period_value': '2', 'period_name': 'Q2', 'score': '29'}, {'period_value': '3', 'period_name': 'Q3', 'score': '34'}, {'period_value': '4', 'period_name': 'Q4', 'score': '23'}]"
0021900446,20191223/TORIND,22019,20191223,1900,Bankers Life Fieldhouse,Indianapolis,IN,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900446/WEB_MWEB,5,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,false,false,false,true,[],"[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Indiana'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'SN1'}]",1610612761,TOR,Toronto,TOR,Raptors,raptors,raptors,115,"[{'period_value': '1', 'period_name': 'Q1', 'score': '19'}, {'period_value': '2', 'period_name': 'Q2', 'score': '25'}, {'period_value': '3', 'period_name': 'Q3', 'score': '35'}, {'period_value': '4', 'period_name': 'Q4', 'score': '28'}, {'period_value': '5', 'period_name': 'OT1', 'score': '8'}]",1610612754,IND,Indiana,IND,Pacers,pacers,pacers,120,"[{'period_value': '1', 'period_name': 'Q1', 'score': '30'}, {'period_value': '2', 'period_name': 'Q2', 'score': '24'}, {'period_value': '3', 'period_name': 'Q3', 'score': '24'}, {'period_value': '4', 'period_name': 'Q4', 'score': '29'}, {'period_value': '5', 'period_name': 'OT1', 'score': '13'}]"
0021900447,20191223/WASNYK,22019,20191223,1900,Madison Square Garden,New York,NY,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900447/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,false,false,false,true,"[{'name': 'MSG', 'long_nm': 'MSG', 'code': 'nykr', 'url': 'http://www.msggo.com/', 'mobile_url': '', 'home_visitor': 'home'}]","[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'MSG'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports Washington Plus'}]",1610612764,WAS,Washington,WAS,Wizards,wizards,wizards,121,"[{'period_value': '1', 'period_name': 'Q1', 'score': '32'}, {'period_value': '2', 'period_name': 'Q2', 'score': '31'}, {'period_value': '3', 'period_name': 'Q3', 'score': '31'}, {'period_value': '4', 'period_name': 'Q4', 'score': '27'}]",1610612752,NYK,New York,NYK,Knicks,knicks,knicks,115,"[{'period_value': '1', 'period_name': 'Q1', 'score': '37'}, {'period_value': '2', 'period_name': 'Q2', 'score': '27'}, {'period_value': '3', 'period_name': 'Q3', 'score': '27'}, {'period_value': '4', 'period_name': 'Q4', 'score': '24'}]"
0021900448,20191223/CHIORL,22019,20191223,1900,Amway Center,Orlando,FL,USA,20191223,1900,20191223,1800,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900448/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Florida'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'NBC Sports Chicago Plus'}]",1610612741,CHI,Chicago,CHI,Bulls,bulls,bulls,95,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '26'}, {'period_value': '3', 'period_name': 'Q3', 'score': '27'}, {'period_value': '4', 'period_name': 'Q4', 'score': '14'}]",1610612753,ORL,Orlando,ORL,Magic,magic,magic,103,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '20'}]"
0021900449,20191223/UTAMIA,22019,20191223,1930,AmericanAirlines Arena,Miami,FL,USA,20191223,1930,20191223,1730,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900449/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,true,false,false,true,true,true,false,false,true,[],"[{'scope': 'can', 'home_visitor': 'can', 'display_name': 'TSN.ca & TSN App'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Sun'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AT&T Sportsnet - Rocky Mountain'}]",1610612762,UTA,Utah,UTA,Jazz,jazz,jazz,104,"[{'period_value': '1', 'period_name': 'Q1', 'score': '28'}, {'period_value': '2', 'period_name': 'Q2', 'score': '24'}, {'period_value': '3', 'period_name': 'Q3', 'score': '29'}, {'period_value': '4', 'period_name': 'Q4', 'score': '23'}]",1610612748,MIA,Miami,MIA,Heat,heat,heat,107,"[{'period_value': '1', 'period_name': 'Q1', 'score': '32'}, {'period_value': '2', 'period_name': 'Q2', 'score': '21'}, {'period_value': '3', 'period_name': 'Q3', 'score': '23'}, {'period_value': '4', 'period_name': 'Q4', 'score': '31'}]"
0021900450,20191223/SASMEM,22019,20191223,2000,FedExForum,Memphis,TN,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900450/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,true,false,false,true,true,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Southeast - Memphis'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports Southwest - San Antonio'}]",1610612759,SAS,San Antonio,SAS,Spurs,spurs,spurs,145,"[{'period_value': '1', 'period_name': 'Q1', 'score': '46'}, {'period_value': '2', 'period_name': 'Q2', 'score': '26'}, {'period_value': '3', 'period_name': 'Q3', 'score': '36'}, {'period_value': '4', 'period_name': 'Q4', 'score': '37'}]",1610612763,MEM,Memphis,MEM,Grizzlies,grizzlies,grizzlies,115,"[{'period_value': '1', 'period_name': 'Q1', 'score': '31'}, {'period_value': '2', 'period_name': 'Q2', 'score': '30'}, {'period_value': '3', 'period_name': 'Q3', 'score': '28'}, {'period_value': '4', 'period_name': 'Q4', 'score': '26'}]"
0021900451,20191223/DENPHX,22019,20191223,2100,Talking Stick Resort Arena,Phoenix,AZ,USA,20191223,1900,20191223,1900,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900451/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,true,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'Fox Sports Arizona'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Altitude 2'}]",1610612743,DEN,Denver,DEN,Nuggets,nuggets,nuggets,113,"[{'period_value': '1', 'period_name': 'Q1', 'score': '34'}, {'period_value': '2', 'period_name': 'Q2', 'score': '22'}, {'period_value': '3', 'period_name': 'Q3', 'score': '26'}, {'period_value': '4', 'period_name': 'Q4', 'score': '31'}]",1610612756,PHX,Phoenix,PHX,Suns,suns,suns,111,"[{'period_value': '1', 'period_name': 'Q1', 'score': '22'}, {'period_value': '2', 'period_name': 'Q2', 'score': '27'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '30'}]"
0021900452,20191223/NOPPOR,22019,20191223,2200,Moda Center,Portland,OR,USA,20191223,1900,20191223,2100,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900452/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,false,false,false,true,true,false,false,false,true,[],"[{'scope': 'natl', 'home_visitor': 'natl', 'display_name': 'NBA TV'}, {'scope': 'can', 'home_visitor': 'can', 'display_name': 'NBA TV Canada'}, {'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports Northwest'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'Fox Sports New Orleans'}]",1610612740,NOP,New Orleans,NOP,Pelicans,pelicans,pelicans,102,"[{'period_value': '1', 'period_name': 'Q1', 'score': '31'}, {'period_value': '2', 'period_name': 'Q2', 'score': '23'}, {'period_value': '3', 'period_name': 'Q3', 'score': '28'}, {'period_value': '4', 'period_name': 'Q4', 'score': '20'}]",1610612757,POR,Portland,POR,Trail Blazers,blazers,blazers,94,"[{'period_value': '1', 'period_name': 'Q1', 'score': '31'}, {'period_value': '2', 'period_name': 'Q2', 'score': '25'}, {'period_value': '3', 'period_name': 'Q3', 'score': '21'}, {'period_value': '4', 'period_name': 'Q4', 'score': '17'}]"
0021900453,20191223/HOUSAC,22019,20191223,2200,Golden 1 Center,Sacramento,CA,USA,20191223,1900,20191223,2100,1,1,0,0,0,https://a.data.nba.com/tickets/single/2019/0021900453/WEB_MWEB,4,Final,3,,4,Qtr,true,true,true,true,false,false,true,true,false,false,false,true,[],"[{'scope': 'local', 'home_visitor': 'home', 'display_name': 'NBC Sports California'}, {'scope': 'local', 'home_visitor': 'visitor', 'display_name': 'AT&T Sportsnet - Southwest'}]",1610612745,HOU,Houston,HOU,Rockets,rockets,rockets,113,"[{'period_value': '1', 'period_name': 'Q1', 'score': '37'}, {'period_value': '2', 'period_name': 'Q2', 'score': '28'}, {'period_value': '3', 'period_name': 'Q3', 'score': '32'}, {'period_value': '4', 'period_name': 'Q4', 'score': '16'}]",1610612758,SAC,Sacramento,SAC,Kings,kings,kings,104,"[{'period_value': '1', 'period_name': 'Q1', 'score': '21'}, {'period_value': '2', 'period_name': 'Q2', 'score': '36'}, {'period_value': '3', 'period_name': 'Q3', 'score': '22'}, {'period_value': '4', 'period_name': 'Q4', 'score': '25'}]"
