personId,lastName,firstName,pos,heightFeet,heightInches
203518,Abrines,Alex,G,6,6
203112,Acy,Quincy,F,6,7
203500,Adams,Steven,C,7,0
1628389,Adebayo,Bam,C-F,6,10
27025,Adnam,Kyle,G,-,-
201167,Afflalo,Arron,G,6,5
201582,Ajinca,Alexis,C,7,2
1962937763,Akognon,Josh,,-,-
202332,Aldrich,Cole,C,6,11
200746,Aldridge,LaMarcus,F,6,11
1628386,Allen,Jarrett,C,6,11
1628443,Allen,Kadeem,G,6,3
202329,Aminu,Al-Farouq,F,6,9
2431,Andersen,David,F,-,-
1626147,Anderson,Justin,G-F,6,6
203937,Anderson,Kyle,F,6,9
201583,Anderson,Ryan,F,6,10
1962937812,Andrews,Zach,,-,-
1628387,Anigbogu,Ike,C-F,6,10
203507,Antetokounmpo,Giannis,F,6,11
2546,Anthony,Carmelo,F,6,8
1628384,Anunoby,OG,F,6,8
1627853,Arcidiacono,Ryan,G,6,3
2772,Ariza,Trevor,F-G,6,8
201589,Arthur,Darrell,F,6,9
1628503,Artis,Jamel,G,6,7
1962937170,Artzi,Netanel,F,-,-
201600,Asik,Omer,C,7,0
201571,Augustin,D.J.,G,6,0
202337,Babbitt,Luke,F,6,9
1628407,Bacon,Dwayne,F,6,7
1627758,Baker,Ron,G,6,4
1627735,Baldwin IV,Wade,G,6,4
1628366,Ball,Lonzo,G,6,6
200826,Barea,J.J.,G,6,0
6664001,Barlow,David,F,-,-
203084,Barnes,Harrison,F,6,8
203115,Barton,Will,F-G,6,6
27032,Baruch,Gal,G,-,-
201587,Batum,Nicolas,G-F,6,8
201573,Bayless,Jerryd,G,6,3
203382,Baynes,Aron,C,6,10
203145,Bazemore,Kent,G,6,5
203078,Beal,Bradley,G,6,5
1627736,Beasley,Malik,G,6,5
201563,Beasley,Michael,F,6,9
201158,Belinelli,Marco,G-F,6,5
1628395,Bell,Jordan,C-F,6,9
1627761,Bembry,DeAndre',F-G,6,6
1627733,Bender,Dragan,F,7,1
202722,Bertans,Davis,C-F,6,10
201976,Beverley,Patrick,G,6,1
203920,Birch,Khem,C,6,9
1628444,Bird,Jabari,G,6,6
202687,Biyombo,Bismack,C,6,9
202357,Bjelica,Nemanja,F,6,10
204028,Black,Tarik,F-C,6,9
1628469,Blakeney,Antonio,G,6,4
1962937736,Blanchfield,Todd,,-,-
1962937156,Blayzer,Oz,F,-,-
202339,Bledsoe,Eric,G,6,1
203992,Bogdanovic,Bogdan,G,6,6
202711,Bogdanovic,Bojan,F-G,6,8
1626164,Booker,Devin,G,6,6
202344,Booker,Trevor,F,6,8
51956,Boone,Josh,C,-,-
1628449,Boucher,Chris,F,6,10
27033,Bourdillon,Frederic,G,-,-
200847,Bowman,Brandon,F-C,-,-
202340,Bradley,Avery,G,6,2
1628396,Bradley,Tony,C,6,10
201147,Brewer,Corey,G-F,6,9
1627763,Brogdon,Malcolm,G,6,5
201166,Brooks,Aaron,G,6,0
1628415,Brooks,Dillon,F-G,6,6
202705,Brooks,MarShon,G-F,6,5
